,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B0_G255,330,260,436,,,,0.305,0.321,982.8,0.001,0.001,11.7936,0.0003,0.0003,,
B0_G191,434,427,420,,Set1456,,0.305,0.321,520.4159,0.0008,0.0008,3.574281751,0.0003,0.0003,,
B0_G127,419,408,404,,200715,,0.305,0.321,212.0534,0.0008,0.0008,1.456409697,0.0003,0.0003,,
B0_G95,461,451,450,,,,0.305,0.321,111.9616,0.0008,0.0008,0.7689663,0.0003,0.0003,,
B0_G63,403,379,382,,,,0.305,0.321,45.35512,0.0008,0.0008,0.311504686,0.0003,0.0003,,
B0_G47,465,451,454,,,,0.305,0.321,23.80633,0.0008,0.0008,0.163504859,0.0003,0.0003,,
B0_G31,407,372,380,,,,0.305,0.321,9.52956,0.0008,0.0008,0.065450219,0.0003,0.0003,,
B0_G23,463,441,444,,,,0.305,0.321,4.941723,0.0011,0.0011,0.033940373,0.0003,0.0003,,
B0_G15,403,351,362,,,,0.305,0.321,1.929647,0.0022,0.0022,0.013253059,0.0003,0.0003,,
B0_G7,381,323,335,,,,0.305,0.321,0.360822,0.0022,0.0022,0.00495634,0.0003,0.0003,,
B0_G2,176,267,281,,,,0.28,0.331,0.022927,0.003,0.003,0.000629856,0.0003,0.0003,,
B1_G255,326,260,430,,,,0.305,0.321,685.61,0.001,0.001,4.5,0.0003,0.0003,,
B1_G191,440,434,428,,,,0.305,0.321,363.0446,0.0008,0.0008,2.382854501,0.0003,0.0003,,
B1_G127,425,412,410,,,,0.305,0.321,147.9295,0.0008,0.0008,0.970939798,0.0003,0.0003,,
B1_G95,464,454,455,,,,0.305,0.321,78.10493,0.0008,0.0008,0.5126442,0.0003,0.0003,,
B1_G63,407,383,388,,,,0.305,0.321,31.63995,0.0008,0.0008,0.207669791,0.0003,0.0003,,
B1_G47,466,452,454,,,,0.305,0.321,16.60741,0.0008,0.0008,0.109003239,0.0003,0.0003,,
B1_G31,409,375,382,,,,0.305,0.321,6.647866,0.0011,0.0011,0.043633479,0.0003,0.0003,,
B1_G23,466,442,448,,,,0.305,0.321,3.447369,0.0022,0.0022,0.022626916,0.0003,0.0003,,
B1_G15,405,354,366,,,,0.305,0.321,1.346131,0.0022,0.0022,0.008835373,0.0003,0.0003,,
B1_G7,378,343,349,,,,0.299,0.321,0.251711,0.0022,0.0022,0.003304226,0.0003,0.0003,,
B1_G3,249,323,315,,,,0.28,0.331,0.039026,0.003,0.003,0.001024592,0.0003,0.0003,,
B2_G255,322,260,424,,,,0.305,0.321,407.37,0.001,0.001,4.88844,0.0003,0.0003,,
B2_G191,448,440,437,,,,0.305,0.321,215.7109,0.0008,0.0008,1.389998459,0.0003,0.0003,,
B2_G127,430,418,418,,,,0.305,0.321,87.89556,0.0008,0.0008,0.566381549,0.0003,0.0003,,
